,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
32,4.58,Clear,High,Morning,Scooter,22,9.0,45
33,19.73,Foggy,Medium,Evening,Bike,27,4.0,111
34,2.47,Windy,Medium,Morning,Bike,27,2.0,44
35,17.8,Snowy,Medium,Morning,Bike,16,9.0,73
36,5.96,Clear,Medium,Afternoon,Bike,22,7.0,45
37,12.85,Windy,Medium,Afternoon,Scooter,18,7.0,61
38,1.02,Clear,Medium,Afternoon,Bike,25,4.0,34
39,6.84,Rainy,Medium,Night,Car,14,8.0,47
40,8.68,Rainy,Medium,Morning,Bike,8,5.0,52
41,10.69,Clear,Medium,Night,Bike,25,9.0,67
42,0.99,Clear,Medium,Evening,Bike,15,4.523926024513096,32
43,1.11,Clear,Low,Morning,Bike,5,6.0,8
44,2.16,Snowy,Low,Evening,Scooter,15,0.0,36
45,13.17,Windy,Medium,Afternoon,Bike,16,4.0,67
46,8.79,Snowy,Low,Night,Bike,14,6.0,43
47,5.93,Clear,Low,Afternoon,Scooter,19,3.0,36
48,2.09,Rainy,Low,Night,Bike,23,2.0,36
49,7.57,Clear,Low,Morning,Bike,21,0.0,56
50,10.52,Rainy,Medium,Afternoon,Scooter,8,4.0,56
51,4.83,Rainy,Low,Morning,Car,25,9.0,47
52,19.81,Snowy,Medium,Afternoon,Car,20,5.0,104
53,10.1,Rainy,Low,Evening,Car,8,4.0,50
54,7.64,Windy,Low,Afternoon,Car,10,8.0,31
55,12.35,Clear,Low,Morning,Scooter,10,6.0,35
56,5.9,Rainy,Low,Evening,Car,26,9.0,44
57,0.9,Clear,Low,Afternoon,Bike,20,8.0,23
58,11.58,Clear,Medium,Morning,Scooter,16,2.0,61
59,16.16,Clear,High,Afternoon,Bike,11,1.0,82
60,15.51,Clear,Low,Evening,Bike,17,9.0,69
61,12.16,Windy,High,Evening,Scooter,11,0.0,69
62,4.96,Rainy,High,Morning,Bike,21,0.0,60
63,3.64,Windy,High,Evening,Bike,17,6.0,40
64,2.85,Clear,Low,Morning,Scooter,26,0.0,38
65,10.4,Clear,Low,Evening,Bike,16,4.0,52
66,12.31,Windy,Low,Morning,Bike,29,4.0,68
67,3.53,Clear,Medium,Afternoon,Bike,13,7.0,31
68,15.56,Clear,Medium,Evening,Bike,14,3.0,54
69,13.6,Clear,Medium,Afternoon,Bike,27,0.0,87
70,15.23,Snowy,High,Morning,Bike,5,0.0,62
71,4.17,Clear,Low,Evening,Scooter,5,1.0,22
72,3.21,Rainy,High,Night,Scooter,16,0.0,42
73,6.38,Snowy,Low,Evening,Bike,16,1.0,111
74,16.54,Rainy,Low,Afternoon,Scooter,6,7.0,51
75,12.02,Clear,Low,Morning,Car,9,7.0,41
76,11.94,Clear,Low,Evening,Bike,20,3.0,69
77,9.08,Clear,Low,Afternoon,Scooter,14,5.0,49
78,3.46,Snowy,Medium,Morning,Scooter,23,3.0,48
79,6.8,Foggy,Medium,Morning,Scooter,13,7.0,46
80,17.38,Rainy,Medium,Afternoon,Scooter,11,2.0,92
81,3.25,Clear,Low,Morning,Bike,23,7.0,32
82,10.28,Clear,Medium,Evening,Scooter,29,3.0,71
83,16.14,Clear,Low,Night,Car,6,9.0,65
84,3.55,Clear,Medium,Evening,Bike,23,0.0,43
85,10.65,Clear,Low,Afternoon,Scooter,23,8.0,58
86,19.03,Clear,Low,Afternoon,Car,26,5.0,68
87,7.3,Clear,Low,Night,Scooter,14,7.0,28
88,7.03,Clear,Low,Evening,Scooter,21,1.0,44
89,12.43,Snowy,Low,Afternoon,Car,12,0.0,70
90,12.76,Windy,High,Morning,Scooter,27,4.523926024513096,74
91,11.39,Rainy,High,Evening,Scooter,14,1.0,72
92,19.41,Clear,Low,Morning,Car,7,3.0,48
93,13.17,Rainy,High,Evening,Scooter,17,8.0,69
94,8.32,Rainy,Low,Afternoon,Car,12,2.0,49
95,1.92,Clear,Low,Morning,Bike,8,7.0,14
96,1.15,Clear,Low,Afternoon,Scooter,26,4.0,30
97,17.8,Windy,High,Afternoon,Car,12,9.0,73
98,7.46,Clear,Medium,Evening,Bike,8,5.0,42
99,7.25,Clear,Medium,Afternoon,Scooter,18,4.0,45
100,16.7,Clear,Medium,Afternoon,Scooter,28,1.0,76
101,17.2,Rainy,High,Afternoon,Scooter,14,2.0,94
102,0.86,Clear,Medium,Afternoon,Car,21,7.0,28
103,18.76,Clear,Medium,Evening,Car,15,2.0,80
104,9.22,Clear,Medium,Afternoon,Car,18,9.0,57
105,2.84,Clear,Low,Evening,Scooter,24,2.0,35
106,17.59,Clear,Low,Morning,Bike,24,6.0,69
107,14.89,Snowy,High,Morning,Scooter,17,6.0,87
108,1.3,Clear,Medium,Evening,Bike,22,4.0,31
109,18.99,Rainy,High,Afternoon,Bike,10,6.0,70
110,1.6,Foggy,Low,Night,Scooter,24,4.523926024513096,37
111,8.26,Snowy,Low,Afternoon,Bike,15,1.0,57
112,10.16,Clear,High,Night,Bike,12,5.0,52
113,12.03,Clear,Medium,Morning,Car,20,5.0,65
114,14.73,Rainy,Low,Afternoon,Bike,24,6.0,74
115,12.56,Clear,High,Evening,Bike,17,5.0,69
116,5.53,Clear,Medium,Afternoon,Bike,19,1.0,44
117,10.18,Foggy,Medium,Morning,Bike,25,3.0,73
118,15.5,Clear,Medium,Morning,Scooter,28,9.0,91
119,2.98,Foggy,Low,Night,Bike,11,2.0,27
120,16.69,Foggy,Medium,Evening,Scooter,8,2.0,65
121,11.22,Windy,High,Evening,Bike,25,5.0,79
122,8.53,Clear,Low,Evening,Scooter,8,2.0,41
123,12.49,Clear,Medium,Morning,Bike,25,4.0,77
124,0.97,Clear,Low,Night,Scooter,24,8.0,26
125,12.6,Windy,Medium,Afternoon,Car,8,6.0,58
126,6.91,Clear,Medium,Evening,Scooter,28,9.0,56
127,18.97,Clear,Low,Evening,Car,25,4.0,141
128,4.05,Clear,Medium,Evening,Bike,20,4.523926024513096,44
129,14.29,Windy,Medium,Morning,Bike,14,7.0,78
130,1.3,Foggy,Low,Evening,Bike,19,5.0,29
131,12.11,Rainy,Low,Morning,Bike,9,5.0,59
132,14.94,Clear,Medium,Morning,Bike,11,0.0,62
133,2.29,Rainy,High,Afternoon,Car,8,8.0,80
134,17.36,Rainy,High,Afternoon,Bike,24,1.0,105
135,18.48,Clear,Medium,Night,Bike,8,0.0,82
136,16.25,Foggy,High,Morning,Bike,10,5.0,91
137,5.13,Clear,Low,Morning,Car,15,4.0,30
138,15.81,Clear,Low,Morning,Car,25,1.0,92
139,0.61,Clear,Low,Afternoon,Scooter,10,0.0,16
140,5.55,Foggy,High,Evening,Bike,18,1.0,116
141,19.35,Clear,High,Morning,Bike,12,7.0,75
142,4.03,Clear,Medium,Evening,Bike,9,5.0,25
143,7.09,Snowy,Low,Morning,Scooter,13,8.0,37
144,8.25,Clear,Medium,Afternoon,Bike,7,9.0,28
145,11.26,Clear,Low,Night,Bike,5,6.0,49
146,19.7,Rainy,Low,Evening,Bike,10,2.0,60
147,0.8,Snowy,High,Evening,Bike,14,9.0,36
148,7.0,Rainy,Medium,Evening,Bike,17,9.0,49
149,14.43,Clear,Medium,Morning,Car,14,4.0,113
150,6.89,Rainy,Medium,Afternoon,Bike,11,6.0,43
151,5.13,Foggy,Medium,Evening,Car,25,1.0,60
152,1.5,Clear,Low,Afternoon,Bike,10,1.0,17
153,2.78,Clear,High,Afternoon,Scooter,9,0.0,41
154,11.31,Clear,Medium,Evening,Bike,7,0.0,54
155,15.05,Clear,Medium,Evening,Car,12,2.0,66
156,5.78,Foggy,Low,Afternoon,Scooter,9,9.0,33
157,11.83,Clear,Low,Evening,Scooter,9,7.0,32
158,8.08,Foggy,Low,Morning,Bike,25,2.0,61
159,16.1,Clear,Low,Evening,Bike,25,0.0,64
160,9.74,Rainy,Medium,Evening,Scooter,7,8.0,37
161,17.6,Clear,Low,Afternoon,Bike,27,3.0,69
162,10.22,Snowy,Medium,Night,Bike,18,1.0,68
163,2.19,Clear,Low,Evening,Bike,26,3.0,32
164,11.41,Windy,Medium,Afternoon,Scooter,17,4.0,68
165,4.14,Clear,Medium,Morning,Scooter,14,2.0,30
166,12.65,Rainy,Low,Afternoon,Bike,18,8.0,60
167,4.15,Clear,Medium,Morning,Car,17,8.0,46
168,16.8,Clear,High,Morning,Car,19,4.0,85
169,9.06,Clear,Medium,Evening,Bike,23,4.0,47
170,13.04,Clear,Medium,Morning,Scooter,20,6.0,65
171,10.7,Clear,Medium,Afternoon,Scooter,8,5.0,44
172,6.15,Foggy,Low,Evening,Scooter,26,5.0,48
173,16.47,Snowy,High,Evening,Scooter,20,9.0,75
174,1.39,Clear,Medium,Afternoon,Bike,15,4.0,24
175,11.14,Rainy,Medium,Morning,Scooter,7,3.0,47
176,3.81,Rainy,High,Afternoon,Bike,5,6.0,31
177,2.39,Rainy,Medium,Evening,Bike,27,7.0,43
178,11.74,Clear,High,Evening,Car,6,3.0,54
179,8.26,Clear,Low,Morning,Car,21,4.0,80
180,9.54,Rainy,Medium,Evening,Scooter,11,5.0,47
181,3.88,Clear,Medium,Morning,Bike,16,2.0,35
182,0.95,Rainy,Medium,Morning,Car,27,0.0,44
183,8.59,Clear,Low,Night,Scooter,17,8.0,36
184,8.59,Clear,Low,Evening,Bike,22,2.0,43
185,14.21,Clear,Medium,Evening,Bike,24,4.523926024513096,58
186,13.03,Foggy,Low,Morning,Scooter,9,1.0,50
187,8.03,Clear,Low,Evening,Scooter,14,8.0,42
188,13.2,Snowy,Low,Morning,Car,14,3.0,62
189,12.67,Clear,Medium,Evening,Car,10,3.0,65
190,17.54,Clear,Low,Morning,Car,16,8.0,54
191,9.32,Clear,Low,Morning,Scooter,6,5.0,30
192,6.03,Rainy,High,Afternoon,Car,8,6.0,46
193,15.71,Clear,Low,Afternoon,Scooter,28,5.0,69
194,4.87,Snowy,High,Evening,Bike,16,7.0,54
195,18.15,Rainy,High,Morning,Bike,22,7.0,108
196,0.78,Clear,Medium,Morning,Bike,6,1.0,17
197,0.6,Clear,Low,Afternoon,Bike,26,3.0,30
198,2.09,Clear,Medium,Evening,Bike,5,5.0,16
199,7.49,Clear,Low,Morning,Scooter,13,9.0,45
200,1.41,Foggy,Medium,Evening,Bike,15,0.0,72
201,18.92,Clear,High,Morning,Scooter,27,4.0,100
202,12.41,Clear,Medium,Morning,Car,10,1.0,51
203,1.06,Clear,Low,Afternoon,Scooter,19,6.0,21
204,18.34,Clear,High,Night,Bike,9,4.0,92
205,13.52,Clear,Low,Morning,Scooter,27,1.0,82
206,16.79,Foggy,High,Afternoon,Bike,24,6.0,85
207,15.39,Clear,Medium,Evening,Scooter,24,5.0,89
208,7.39,Rainy,Medium,Morning,Scooter,25,6.0,60
209,10.98,Rainy,Low,Morning,Scooter,10,6.0,55
210,11.08,Snowy,Medium,Morning,Bike,9,0.0,57
211,5.41,Clear,Medium,Night,Bike,14,5.0,36
212,0.94,Clear,High,Morning,Bike,9,6.0,21
213,7.27,Windy,Low,Afternoon,Bike,10,5.0,35
214,2.99,Windy,Medium,Morning,Bike,27,5.0,41
215,15.28,Snowy,Low,Evening,Bike,16,5.0,72
216,2.48,Windy,Medium,Afternoon,Car,14,6.0,27
217,17.13,Rainy,Low,Evening,Car,19,1.0,71
218,7.17,Clear,Low,Afternoon,Bike,15,7.0,32
219,5.47,Rainy,Low,Morning,Car,21,6.0,38
220,19.53,Foggy,Low,Afternoon,Bike,11,6.0,87
221,7.5,Clear,High,Morning,Bike,29,1.0,66
222,5.61,Windy,Low,Night,Bike,25,9.0,48
223,4.1,Clear,Low,Morning,Bike,21,3.0,37
224,6.22,Rainy,Medium,Morning,Bike,15,0.0,49
225,14.77,Clear,High,Morning,Scooter,11,6.0,67
226,12.55,Windy,Low,Evening,Bike,13,8.0,51
227,10.31,Foggy,Medium,Morning,Scooter,19,5.0,62
228,8.72,Snowy,Medium,Evening,Car,18,7.0,64
229,17.07,Clear,Medium,Morning,Bike,20,6.0,73
230,8.27,Clear,High,Afternoon,Scooter,13,5.0,58
231,7.54,Snowy,Low,Afternoon,Bike,20,4.523926024513096,55
232,14.07,Clear,High,Afternoon,Bike,5,8.0,67
233,19.02,Clear,Medium,Afternoon,Bike,29,9.0,87
234,19.0,Clear,High,Morning,Car,28,3.0,96
235,3.83,Rainy,Medium,Afternoon,Bike,12,9.0,30
236,10.3,Clear,Low,Evening,Scooter,19,8.0,48
237,8.09,Clear,High,Afternoon,Scooter,15,4.0,51
238,18.06,Clear,Medium,Night,Bike,9,8.0,52
239,2.76,Windy,Medium,Morning,Scooter,8,5.0,22
240,12.17,Snowy,Low,Evening,Bike,20,8.0,68
241,12.33,Clear,Medium,Evening,Bike,22,9.0,75
242,1.38,Clear,Medium,Evening,Scooter,5,8.0,13
243,18.49,Clear,Low,Afternoon,Scooter,14,6.0,71
244,10.57,Snowy,Low,Afternoon,Bike,28,9.0,59
245,2.0,Clear,High,Evening,Scooter,10,2.0,30
246,3.29,Clear,Medium,Afternoon,Scooter,17,4.0,32
247,1.94,Rainy,Medium,Morning,Bike,16,0.0,35
248,6.56,Windy,Medium,Morning,Bike,14,1.0,47
249,9.58,Clear,High,Afternoon,Car,26,8.0,60
250,6.95,Clear,Medium,Morning,Scooter,25,2.0,58
251,14.05,Clear,High,Morning,Scooter,19,0.0,72
252,18.97,Rainy,High,Night,Bike,20,8.0,108
253,13.53,Rainy,Low,Evening,Bike,28,8.0,78
254,15.14,Rainy,Medium,Morning,Bike,8,6.0,66
255,5.96,Clear,Low,Afternoon,Bike,26,6.0,48
256,3.43,Windy,Medium,Morning,Bike,7,6.0,23
257,6.24,Clear,Medium,Evening,Bike,15,3.0,52
258,17.94,Rainy,High,Evening,Scooter,22,6.0,85
259,3.54,Rainy,Medium,Evening,Bike,10,5.0,32
260,16.38,Rainy,Medium,Night,Bike,7,4.523926024513096,90
261,7.81,Clear,Low,Evening,Bike,11,4.0,42
262,8.84,Clear,Low,Morning,Bike,26,0.0,57
263,14.09,Clear,Medium,Afternoon,Scooter,12,3.0,55
264,11.92,Clear,Low,Afternoon,Scooter,14,4.0,46
265,17.3,Clear,Low,Evening,Scooter,9,0.0,67
266,14.08,Clear,High,Morning,Bike,28,6.0,66
267,2.8,Clear,High,Afternoon,Bike,28,1.0,50
268,17.96,Clear,Medium,Morning,Bike,22,2.0,76
269,14.09,Clear,High,Afternoon,Bike,12,6.0,67
270,9.39,Clear,Low,Morning,Bike,14,2.0,37
271,17.9,Clear,Low,Morning,Bike,23,4.523926024513096,85
272,4.55,Rainy,Low,Afternoon,Bike,5,6.0,21
273,6.24,Snowy,Low,Afternoon,Bike,20,4.0,51
274,16.92,Clear,Low,Morning,Scooter,29,0.0,70
275,14.31,Clear,Medium,Morning,Bike,9,8.0,47
276,14.66,Windy,Medium,Morning,Bike,20,2.0,77
277,2.23,Clear,Low,Morning,Bike,7,6.0,14
278,12.65,Clear,Low,Evening,Bike,15,4.0,66
279,7.24,Rainy,Medium,Evening,Bike,28,6.0,65
280,3.01,Clear,Medium,Evening,Bike,14,4.0,26
281,11.52,Clear,Medium,Morning,Scooter,25,2.0,58
282,3.95,Clear,Low,Afternoon,Bike,13,5.0,25
283,1.09,Clear,Medium,Morning,Scooter,6,2.0,17
284,13.99,Clear,High,Evening,Scooter,7,3.0,96
285,19.32,Rainy,High,Morning,Car,21,7.0,112
286,11.72,Rainy,Low,Evening,Bike,11,9.0,42
287,2.13,Rainy,Low,Morning,Scooter,9,2.0,22
288,8.17,Clear,Medium,Afternoon,Scooter,20,9.0,44
289,12.21,Clear,High,Morning,Bike,9,4.0,57
290,3.17,Clear,Medium,Evening,Scooter,17,6.0,33
291,18.68,Snowy,Low,Afternoon,Bike,11,8.0,62
292,10.95,Clear,Medium,Evening,Scooter,24,4.0,55
293,19.26,Windy,Medium,Morning,Scooter,21,6.0,67
294,9.44,Rainy,Low,Evening,Scooter,28,8.0,63
295,4.86,Foggy,Medium,Evening,Car,25,4.0,52
296,5.81,Foggy,Low,Afternoon,Bike,25,8.0,51
297,7.34,Rainy,Low,Evening,Bike,22,8.0,47
298,17.39,Foggy,Medium,Morning,Bike,25,4.0,100
299,5.22,Snowy,Low,Evening,Bike,11,9.0,40
300,12.32,Clear,Medium,Evening,Scooter,17,4.0,71
301,2.15,Windy,Medium,Afternoon,Car,17,6.0,30
302,9.36,Rainy,High,Morning,Scooter,17,2.0,65
303,2.28,Clear,Medium,Evening,Scooter,27,9.0,39
304,14.54,Clear,Medium,Evening,Bike,29,2.0,73
305,12.15,Clear,High,Morning,Car,12,6.0,63
306,1.4,Windy,Low,Evening,Bike,9,9.0,17
307,3.37,Clear,High,Morning,Bike,9,4.523926024513096,28
308,3.85,Rainy,Medium,Afternoon,Bike,26,3.0,46
309,9.03,Clear,Low,Morning,Bike,11,5.0,43
310,17.99,Snowy,Low,Afternoon,Bike,15,3.0,63
311,16.35,Clear,Medium,Morning,Bike,16,0.0,66
312,19.61,Clear,High,Evening,Bike,8,6.0,72
313,16.29,Clear,Low,Morning,Bike,20,1.0,72
314,7.84,Windy,Low,Afternoon,Bike,6,4.0,28
315,18.17,Rainy,Low,Afternoon,Car,13,0.0,71
316,17.89,Windy,Low,Morning,Bike,27,1.0,101
317,13.34,Clear,Medium,Night,Bike,20,6.0,53
318,4.43,Foggy,Low,Morning,Scooter,10,1.0,63
319,13.21,Clear,Low,Morning,Scooter,12,4.0,63
320,2.76,Windy,Medium,Night,Bike,6,2.0,27
321,1.5,Foggy,Medium,Evening,Scooter,15,4.0,32
322,11.04,Clear,Medium,Afternoon,Scooter,8,2.0,54
323,1.22,Clear,Medium,Evening,Scooter,6,4.523926024513096,14
324,14.58,Clear,Low,Afternoon,Bike,13,4.523926024513096,57
325,18.26,Rainy,High,Night,Scooter,28,7.0,93
326,3.88,Foggy,Low,Evening,Car,27,9.0,42
327,18.07,Clear,High,Afternoon,Scooter,5,2.0,67
328,12.11,Clear,Medium,Evening,Bike,28,0.0,75
329,7.08,Clear,Medium,Afternoon,Scooter,5,8.0,27
330,3.12,Rainy,Low,Evening,Scooter,14,5.0,28
331,2.03,Foggy,High,Evening,Car,14,4.0,36
332,1.8,Clear,Low,Night,Bike,14,1.0,28
333,5.42,Clear,Low,Evening,Scooter,11,9.0,26
334,7.8,Clear,Low,Evening,Scooter,23,5.0,52
335,8.47,Rainy,Low,Afternoon,Scooter,19,0.0,48
336,6.79,Rainy,Low,Evening,Scooter,16,1.0,39
337,13.6,Rainy,Medium,Afternoon,Scooter,23,6.0,83
338,13.06,Rainy,High,Morning,Bike,17,8.0,59
339,19.93,Snowy,Low,Afternoon,Bike,6,6.0,59
340,11.3,Snowy,Medium,Afternoon,Bike,15,8.0,70
341,6.74,Rainy,Medium,Evening,Car,21,9.0,47
342,10.49,Rainy,Low,Morning,Bike,28,9.0,66
343,8.83,Clear,Medium,Evening,Scooter,12,3.0,109
344,7.15,Clear,High,Night,Car,29,7.0,60
345,15.94,Clear,Low,Evening,Bike,24,2.0,77
346,11.26,Foggy,High,Afternoon,Bike,14,2.0,70
347,11.87,Clear,Medium,Morning,Bike,10,6.0,43
348,2.83,Windy,Medium,Afternoon,Scooter,14,6.0,28
349,11.74,Clear,Low,Afternoon,Car,20,1.0,52
350,2.71,Clear,Low,Morning,Scooter,6,1.0,20
351,10.47,Clear,High,Evening,Scooter,14,7.0,55
352,4.5,Snowy,High,Evening,Bike,24,0.0,66
353,19.74,Clear,Low,Morning,Car,21,7.0,71
354,1.23,Clear,Low,Evening,Bike,18,6.0,21
355,4.83,Clear,Low,Evening,Bike,11,1.0,29
356,1.51,Clear,High,Afternoon,Bike,14,2.0,32
357,1.62,Windy,Low,Evening,Bike,9,8.0,16
358,11.31,Clear,High,Evening,Bike,20,0.0,67
359,6.05,Clear,Medium,Morning,Car,24,0.0,48
360,10.14,Clear,Medium,Morning,Scooter,20,1.0,59
361,9.45,Clear,Low,Afternoon,Car,13,0.0,49
362,6.8,Clear,High,Evening,Bike,28,5.0,55
363,15.65,Clear,Low,Afternoon,Bike,27,0.0,76
364,2.26,Clear,Medium,Morning,Scooter,6,3.0,19
365,12.05,Clear,Low,Evening,Scooter,29,4.0,61
366,8.25,Windy,Medium,Evening,Car,24,4.0,62
367,12.85,Rainy,Medium,Afternoon,Scooter,23,0.0,80
368,15.14,Windy,Medium,Morning,Bike,15,4.0,71
369,4.59,Foggy,Low,Evening,Scooter,19,8.0,36
370,12.02,Clear,Low,Afternoon,Bike,26,0.0,63
371,19.8,Clear,High,Evening,Bike,7,3.0,88
372,19.27,Foggy,High,Afternoon,Bike,14,6.0,92
373,4.92,Clear,High,Morning,Scooter,12,0.0,41
374,1.63,Rainy,Medium,Night,Bike,24,5.0,38
375,18.04,Clear,Medium,Morning,Bike,8,5.0,71
376,19.4,Snowy,Low,Afternoon,Scooter,23,9.0,92
377,16.4,Clear,High,Morning,Scooter,12,2.0,70
378,12.01,Clear,Low,Morning,Car,5,7.0,42
379,18.46,Clear,Low,Morning,Scooter,29,1.0,153
380,13.09,Windy,Low,Morning,Scooter,17,1.0,69
381,1.22,Foggy,High,Afternoon,Scooter,14,2.0,38
382,10.36,Rainy,Medium,Afternoon,Bike,7,8.0,39
383,4.31,Rainy,Medium,Afternoon,Bike,9,2.0,35
384,13.32,Windy,Medium,Afternoon,Bike,26,0.0,71
385,16.1,Clear,Low,Morning,Car,16,6.0,61
386,14.11,Rainy,High,Morning,Scooter,24,3.0,93
387,2.84,Clear,Medium,Night,Scooter,28,1.0,44
388,16.09,Snowy,Low,Morning,Car,13,6.0,69
389,16.05,Snowy,Medium,Evening,Bike,11,2.0,89
390,13.37,Windy,High,Afternoon,Scooter,17,8.0,63
391,10.16,Snowy,Medium,Night,Bike,10,1.0,67
392,6.13,Clear,Medium,Night,Scooter,22,0.0,48
393,4.96,Rainy,Low,Afternoon,Car,10,7.0,28
394,3.0,Clear,Low,Morning,Scooter,29,1.0,43
395,2.23,Snowy,Medium,Evening,Car,14,0.0,41
396,17.96,Clear,Low,Evening,Scooter,26,0.0,74
397,7.8,Rainy,Medium,Morning,Bike,11,7.0,49
398,10.9,Clear,High,Afternoon,Scooter,6,8.0,47
399,3.17,Clear,Low,Afternoon,Bike,17,1.0,28
400,9.39,Windy,Medium,Morning,Scooter,21,9.0,50
401,17.44,Clear,Low,Evening,Bike,25,9.0,89
402,3.02,Rainy,Medium,Morning,Bike,23,1.0,46
403,19.99,Rainy,High,Evening,Bike,17,1.0,112
404,16.22,Rainy,High,Evening,Bike,22,0.0,102
405,2.74,Clear,High,Afternoon,Bike,18,9.0,37
406,5.74,Rainy,High,Evening,Bike,13,9.0,46
407,9.75,Clear,Low,Afternoon,Bike,22,7.0,50
408,15.62,Rainy,Medium,Afternoon,Scooter,23,7.0,78
409,16.54,Rainy,Medium,Afternoon,Bike,25,7.0,77
410,7.84,Rainy,Low,Morning,Scooter,7,8.0,36
411,17.44,Clear,Low,Night,Car,23,0.0,85
412,11.08,Windy,High,Afternoon,Bike,16,6.0,70
413,17.61,Clear,Medium,Evening,Scooter,21,9.0,79
414,8.28,Snowy,Low,Evening,Car,29,7.0,58
415,15.32,Clear,Medium,Morning,Bike,17,6.0,80
416,3.83,Rainy,Low,Evening,Car,27,3.0,49
417,3.25,Rainy,Low,Evening,Scooter,29,0.0,51
418,19.75,Clear,Medium,Morning,Bike,25,1.0,103
419,15.19,Foggy,Low,Evening,Scooter,6,4.0,53
420,8.92,Windy,Low,Morning,Bike,25,4.0,62
421,18.63,Windy,Low,Afternoon,Bike,11,5.0,85
422,12.74,Clear,Low,Night,Scooter,18,0.0,67
423,18.13,Rainy,High,Evening,Bike,21,2.0,88
424,2.47,Rainy,Low,Afternoon,Car,22,6.0,34
425,18.15,Windy,Medium,Morning,Bike,11,2.0,89
426,1.74,Foggy,High,Afternoon,Scooter,8,9.0,28
427,5.79,Windy,Medium,Morning,Bike,26,6.0,49
428,5.75,Windy,High,Morning,Scooter,7,4.0,37
429,17.41,Snowy,Medium,Evening,Bike,20,4.0,80
430,1.2,Rainy,Low,Morning,Scooter,24,7.0,33
431,8.07,Windy,Low,Evening,Bike,21,4.0,48
432,1.88,Clear,Medium,Morning,Scooter,24,7.0,35
433,0.72,Rainy,Medium,Afternoon,Scooter,9,2.0,23
434,14.19,Clear,Medium,Afternoon,Bike,9,1.0,57
435,16.73,Windy,High,Afternoon,Scooter,9,7.0,71
436,18.53,Rainy,Low,Afternoon,Scooter,8,8.0,57
437,4.32,Clear,Low,Morning,Bike,21,9.0,34
438,13.6,Foggy,High,Evening,Bike,9,7.0,61
439,18.46,Rainy,Low,Morning,Bike,19,9.0,94
440,7.67,Windy,Low,Morning,Car,9,2.0,31
441,8.23,Snowy,Low,Evening,Bike,17,3.0,56
442,13.44,Clear,Low,Night,Bike,29,0.0,63
443,15.04,Clear,Low,Morning,Car,24,5.0,60
444,7.48,Clear,Medium,Morning,Car,21,4.0,52
445,10.11,Rainy,Low,Afternoon,Scooter,23,2.0,63
446,10.88,Snowy,Low,Afternoon,Car,13,3.0,52
447,13.97,Snowy,Low,Evening,Scooter,14,8.0,52
448,3.48,Foggy,Low,Afternoon,Scooter,9,1.0,31
449,10.73,Foggy,Low,Morning,Bike,6,6.0,35
450,5.18,Clear,Medium,Afternoon,Car,9,2.0,30
451,8.47,Foggy,Medium,Evening,Bike,24,0.0,68
452,15.64,Rainy,Low,Morning,Bike,20,4.0,141
453,10.95,Snowy,Low,Afternoon,Bike,9,1.0,65
454,19.29,Windy,Medium,Evening,Scooter,7,8.0,84
455,2.59,Windy,Medium,Morning,Bike,13,5.0,28
